"id","name","weak_foot","skill_moves","ball_control","dribbling","marking","sliding_tackle","standing_tackle","aggression","reactions","att_positions","interceptions","crossing","short_pass","long_pass","shot_power","finishing","long_shots","curve","freekick_accuracy","volleys"
1,"Cristiano Ronaldo",4,5,93,92,22,23,31,63,96,94,29,84,83,77,92,93,90,81,76,88
2,"Lionel Messi",4,4,95,97,13,26,28,48,95,93,22,77,88,87,85,95,88,89,90,85
3,"Neymar",5,5,95,96,21,33,24,56,88,90,36,75,81,75,78,89,77,79,84,83
4,"Luis Suárez",4,4,91,86,30,38,45,78,93,92,41,77,83,64,87,94,86,86,84,88
5,"Manuel Neuer",4,1,48,30,10,11,10,29,85,12,30,15,55,59,25,13,16,14,11,11
6,"De Gea",3,1,31,13,13,13,21,38,88,12,30,17,31,32,31,13,12,21,19,13
7,"Robert Lewandowski",4,3,87,85,25,19,42,80,88,89,39,62,83,65,86,91,82,77,76,86
8,"Gareth Bale",3,4,88,89,51,52,55,65,87,86,59,87,86,80,91,87,90,86,85,76
9,"Zlatan Ibrahimovic",4,4,90,87,15,27,41,84,85,86,20,76,84,76,93,90,88,82,82,93
10,"Thibaut Courtois",3,1,23,13,11,16,18,23,81,13,15,14,32,31,36,14,17,19,11,12
11,"Jérôme Boateng",4,2,72,67,90,91,92,82,84,47,84,69,75,80,79,34,58,56,31,53
12,"Eden Hazard",4,4,91,93,25,22,27,54,85,85,41,80,84,80,79,81,82,82,79,79
13,"Luka Modric",4,4,92,86,66,73,80,62,88,79,76,78,92,83,73,71,82,79,77,74
14,"Mesut Özil",2,4,90,86,22,19,16,48,87,84,24,82,89,84,70,75,76,84,79,77
15,"Gonzalo Higuaín",4,3,85,84,12,18,22,50,86,92,20,68,73,59,86,92,80,74,62,88
16,"Thiago Silva",3,3,80,68,90,89,91,77,84,59,91,60,79,81,78,38,71,61,73,63
17,"Sergio Ramos",3,3,83,61,85,90,89,84,82,52,88,66,76,70,79,60,55,73,67,66
18,"Sergio Agüero",4,4,89,89,13,12,20,57,88,91,24,70,79,63,87,90,84,82,72,85
19,"Paul Pogba",4,5,90,89,68,76,75,72,86,84,70,78,85,87,90,71,88,82,82,84
20,"Antoine Griezmann",3,4,86,87,23,11,22,69,90,91,35,82,79,75,81,88,82,84,75,87
21,"Kevin De Bruyne",4,4,86,85,30,40,39,68,88,84,52,90,89,82,85,83,86,81,84,82
22,"Marco Reus",4,4,85,86,30,46,36,49,87,87,50,83,86,79,87,84,85,90,84,88
23,"Alexis Sánchez",3,4,86,89,30,35,39,80,87,86,42,80,80,73,84,85,81,78,78,83
24,"Toni Kroos",5,3,85,78,63,65,75,60,85,76,77,85,89,93,87,75,88,85,84,82
25,"Diego Godín",3,2,76,53,87,89,86,86,85,48,88,55,79,70,67,42,43,49,51,47
26,"Mats Hummels",3,2,77,68,85,87,92,66,85,56,89,64,78,82,71,55,51,65,53,60
27,"Hugo Lloris",1,1,34,10,12,18,10,31,84,10,27,13,27,31,23,10,14,11,10,11
28,"Giorgio Chiellini",2,2,55,56,92,90,92,90,78,28,88,58,55,59,78,33,49,60,31,45
29,"Philipp Lahm",3,3,86,82,86,95,87,58,91,69,93,84,86,77,57,47,65,77,59,66
30,"Pepe",3,2,62,58,88,89,87,94,84,40,88,46,70,61,63,46,56,44,47,23
31,"Petr Cech",3,1,22,12,11,12,13,17,86,13,23,19,35,33,21,12,11,13,19,17
