"id","name","nationality","nat_position","nat_kit","club","club_position","club_kit","club_join","contract_expiration","rate","height","weight","pref_foot","birth","age","pref_position"
1,"Cristiano Ronaldo","Portugal","LS",7,"Real Madrid","LW",7,"07/01/2009",2021,94,"185 cm","80 kg","Right","02/05/1985",32,"LW/ST"
2,"Lionel Messi","Argentina","RW",10,"FC Barcelona","RW",10,"07/01/2004",2018,93,"170 cm","72 kg","Left","06/24/1987",29,"RW"
3,"Neymar","Brazil","LW",10,"FC Barcelona","LW",11,"07/01/2013",2021,92,"174 cm","68 kg","Right","02/05/1992",25,"LW"
4,"Luis Suárez","Uruguay","LS",9,"FC Barcelona","ST",9,"07/11/2014",2021,92,"182 cm","85 kg","Right","01/24/1987",30,"ST"
5,"Manuel Neuer","Germany","GK",1,"FC Bayern","GK",1,"07/01/2011",2021,92,"193 cm","92 kg","Right","03/27/1986",31,"GK"
6,"De Gea","Spain","GK",1,"Manchester Utd","GK",1,"07/01/2011",2019,90,"193 cm","82 kg","Right","11/07/1990",26,"GK"
7,"Robert Lewandowski","Poland","LS",9,"FC Bayern","ST",9,"07/01/2014",2021,90,"185 cm","79 kg","Right","08/21/1988",28,"ST"
8,"Gareth Bale","Wales","RS",11,"Real Madrid","RW",11,"09/02/2013",2022,90,"183 cm","74 kg","Left","07/16/1989",27,"RW"
9,"Zlatan Ibrahimovic","Sweden","NULL","NULL","Manchester Utd","ST",9,"07/01/2016",2017,90,"195 cm","95 kg","Right","10/03/1981",35,"ST"
10,"Thibaut Courtois","Belgium","GK",1,"Chelsea","GK",13,"07/26/2011",2019,89,"199 cm","91 kg","Left","05/11/1992",24,"GK"
11,"Jérôme Boateng","Germany","RCB",17,"FC Bayern","Sub",17,"07/14/2011",2021,89,"192 cm","90 kg","Right","09/03/1988",28,"CB"
12,"Eden Hazard","Belgium","LF",10,"Chelsea","LW",10,"07/01/2012",2020,89,"173 cm","74 kg","Right","01/07/1991",26,"LW/LM"
13,"Luka Modric","Croatia","NULL","NULL","Real Madrid","RCM",19,"08/01/2012",2020,89,"174 cm","65 kg","Right","09/09/1985",31,"CM/CDM"
14,"Mesut Özil","Germany","CAM",10,"Arsenal","CAM",11,"09/02/2013",2018,89,"180 cm","76 kg","Left","10/15/1988",28,"CAM/LW"
15,"Gonzalo Higuaín","Argentina","Sub",9,"Juventus","ST",9,"07/26/2016",2021,89,"184 cm","92 kg","Right","12/10/1987",29,"ST"
16,"Thiago Silva","Brazil","Sub",14,"PSG","LCB",2,"07/01/2012",2020,89,"183 cm","79 kg","Right","09/22/1984",32,"CB"
17,"Sergio Ramos","Spain","LCB",15,"Real Madrid","LCB",4,"08/01/2005",2020,89,"183 cm","75 kg","Right","03/30/1986",31,"CB"
18,"Sergio Agüero","Argentina","Sub",7,"Manchester City","ST",10,"07/28/2011",2020,89,"173 cm","70 kg","Right","06/02/1988",28,"ST"
19,"Paul Pogba","France","NULL","NULL","Manchester Utd","LCM",6,"08/09/2016",2021,88,"191 cm","84 kg","Right","03/15/1993",24,"CM/CAM"
20,"Antoine Griezmann","France","CAM",7,"Atlético Madrid","RS",7,"07/29/2014",2021,88,"176 cm","67 kg","Left","03/21/1991",26,"ST/LW"
21,"Kevin De Bruyne","Belgium","RCM",7,"Manchester City","RCM",17,"08/30/2015",2021,88,"181 cm","68 kg","Right","06/28/1991",25,"CAM/RM/LM"
22,"Marco Reus","Germany","NULL","NULL","Bor. Dortmund","LW",11,"07/01/2012",2019,88,"182 cm","76 kg","Right","05/31/1989",27,"LM/CAM"
23,"Alexis Sánchez","Chile","LW",7,"Arsenal","ST",7,"07/10/2014",2018,88,"169 cm","62 kg","Right","12/19/1988",28,"ST/RM"
24,"Toni Kroos","Germany","LDM",8,"Real Madrid","LCM",8,"07/17/2014",2022,88,"182 cm","78 kg","Right","01/04/1990",27,"CM/CDM"
25,"Diego Godín","Uruguay","LCB",3,"Atlético Madrid","LCB",2,"08/01/2010",2019,88,"185 cm","73 kg","Right","02/16/1986",31,"CB"
26,"Mats Hummels","Germany","LCB",5,"FC Bayern","LCB",5,"07/01/2016",2021,88,"191 cm","92 kg","Right","12/16/1988",28,"CB"
27,"Hugo Lloris","France","GK",1,"Spurs","GK",1,"08/01/2012",2022,88,"188 cm","82 kg","Left","12/26/1986",30,"GK"
28,"Giorgio Chiellini","Italy","LCB",3,"Juventus","LCB",3,"07/01/2005",2018,88,"187 cm","84 kg","Left","08/14/1984",32,"CB"
29,"Philipp Lahm","Germany","NULL","NULL","FC Bayern","RB",21,"11/01/2002",2018,88,"170 cm","66 kg","Right","11/11/1983",33,"RB/CM"
30,"Pepe","Portugal","RCB",3,"Real Madrid","RCB",3,"07/01/2007",2017,88,"188 cm","81 kg","Right","02/26/1983",34,"CB"
31,"Petr Cech","Czech Republic","NULL","NULL","Arsenal","GK",33,"06/29/2015",2019,88,"196 cm","90 kg","Left","05/20/1982",34,"GK"
32,"Gianluigi Buffon","Italy","GK",1,"Juventus","GK",1,"07/01/2001",2018,88,"192 cm","91 kg","Right","01/28/1978",39,"GK"
33,"Iniesta","Spain","LCM",6,"FC Barcelona","LM",8,"07/01/2002",2018,88,"171 cm","68 kg","Right","05/11/1984",32,"CM"
34,"Jan Oblak","Slovenia","GK",1,"Atlético Madrid","GK",13,"07/17/2014",2021,87,"189 cm","87 kg","Right","01/07/1993",24,"GK"
35,"James Rodríguez","Colombia","LAM",10,"Real Madrid","CAM",10,"07/22/2014",2020,87,"180 cm","75 kg","Left","07/12/1991",25,"CAM/RM"
36,"Pierre-Emerick Aubameyang","Gabon","NULL","NULL","Bor. Dortmund","ST",17,"07/04/2013",2020,87,"187 cm","80 kg","Right","06/18/1989",27,"ST/RM"
37,"Leonardo Bonucci","Italy","CB",19,"Juventus","RCB",19,"07/01/2010",2021,87,"190 cm","85 kg","Right","05/01/1987",29,"CB"
38,"Arturo Vidal","Chile","CDM",8,"FC Bayern","LDM",23,"07/28/2015",2019,87,"180 cm","75 kg","Right","05/22/1987",29,"CM/CDM"
39,"Ivan Rakitic","Croatia","NULL","NULL","FC Barcelona","CAM",4,"06/24/2014",2021,87,"184 cm","78 kg","Right","03/10/1988",29,"CM"
40,"David Silva","Spain","LM",21,"Manchester City","LCM",21,"07/14/2010",2019,87,"173 cm","67 kg","Left","01/08/1986",31,"CAM/LM"
41,"Samir Handanovic","Slovenia","NULL","NULL","Inter","GK",1,"07/01/2012",2019,87,"193 cm","89 kg","Right","07/14/1984",32,"GK"
42,"Piqué","Spain","RCB",3,"FC Barcelona","RCB",3,"07/01/2008",2019,87,"193 cm","85 kg","Right","02/02/1987",30,"CB"
43,"Arjen Robben","Netherlands","RW",11,"FC Bayern","RM",10,"08/28/2009",2018,87,"180 cm","80 kg","Left","01/23/1984",33,"RM/RW"
44,"Paulo Dybala","Argentina","Sub",21,"Juventus","CAM",21,"07/01/2015",2020,86,"177 cm","74 kg","Left","11/15/1993",23,"ST/CAM"
45,"Marco Verratti","Italy","LCM",10,"PSG","RCM",6,"07/01/2012",2021,86,"165 cm","60 kg","Right","11/05/1992",24,"CM/CDM"
