1,Cristiano Ronaldo,14,7,15,11,11
2,Lionel Messi,14,6,15,11,8
3,Neymar,15,9,15,9,11
4,Luis Suárez,33,27,31,25,37
5,Manuel Neuer,91,89,95,90,89
6,De Gea,86,88,87,85,90
7,Robert Lewandowski,8,15,12,6,10
8,Gareth Bale,5,15,11,15,6
9,Zlatan Ibrahimovic,9,13,10,15,12
10,Thibaut Courtois,86,84,69,91,89
11,Jérôme Boateng,6,7,15,12,5
12,Eden Hazard,8,11,6,12,8
13,Luka Modric,14,13,7,9,9
14,Mesut Özil,6,6,10,14,14
15,Gonzalo Higuaín,5,5,7,12,10
16,Thiago Silva,9,9,5,12,10
17,Sergio Ramos,7,11,9,8,11
18,Sergio Agüero,11,13,6,15,14
19,Paul Pogba,4,5,2,6,3
20,Antoine Griezmann,13,14,14,8,14
21,Kevin De Bruyne,10,15,5,13,13
22,Marco Reus,13,12,13,12,11
23,Alexis Sánchez,12,10,15,10,13
24,Toni Kroos,7,10,13,11,10
25,Diego Godín,5,6,15,8,15
26,Mats Hummels,5,15,10,6,6
27,Hugo Lloris,82,87,68,87,90
28,Giorgio Chiellini,4,3,2,3,3
29,Philipp Lahm,14,11,5,12,5
30,Pepe,9,8,5,15,10
31,Petr Cech,85,83,77,90,85
32,Gianluigi Buffon,90,87,68,88,84
33,Iniesta,13,6,6,13,7
34,Jan Oblak,87,83,77,90,82
35,James Rodríguez,5,15,15,15,14
36,Pierre-Emerick Aubameyang,9,6,15,9,9
37,Leonardo Bonucci,2,2,3,2,4
38,Arturo Vidal,2,4,4,2,4
39,Ivan Rakitic,5,14,12,11,9
40,David Silva,1,1,1,1,1
41,Samir Handanovic,86,86,69,89,86
42,Piqué,15,10,14,11,8
43,Arjen Robben,5,10,11,8,15
44,Paulo Dybala,5,5,4,4,8
45,Marco Verratti,15,12,15,12,10
46,David Alaba,15,5,14,7,9
47,Henrikh Mkhitaryan,5,5,14,11,7
48,Bernd Leno,85,85,76,86,83
49,Thomas Müller,14,6,11,7,14
50,Sergio Busquets,9,5,13,8,13
51,Thiago,9,6,7,11,13
52,Jordi Alba,6,13,13,15,13
53,Coutinho,14,12,9,7,6
54,Ángel Di María,12,10,11,7,11
55,Diego Costa,8,11,12,13,11
56,Edinson Cavani,13,12,13,5,10
57,Radja Nainggolan,8,11,14,11,11
58,Marcelo,5,12,5,5,9
59,Claudio Marchisio,2,4,4,3,4
60,Miranda,13,12,10,6,12
61,Karim Benzema,5,13,5,11,7
62,Cesc Fàbregas,15,6,8,10,15
63,Franck Ribéry,7,15,9,6,10
64,Santi Cazorla,7,6,5,9,15
65,Andrea Barzagli,2,4,4,2,4
66,Harry Kane,14,8,11,10,11
67,Alexandre Lacazette,5,11,9,6,6
68,Keylor Navas,80,87,72,82,85
69,Romelu Lukaku,7,8,14,15,10
70,Christian Eriksen,7,9,7,14,6
71,Ilkay Gündogan,5,11,5,14,13
72,Toby Alderweireld,16,16,14,6,14
73,Willian,7,14,13,12,13
74,Miralem Pjanic,7,7,13,7,8
75,Juan Mata,5,9,14,10,8
76,Javi Martinez,11,5,9,12,8
77,Dimitri Payet,14,11,9,15,12
78,Dries Mertens,10,7,8,10,4
79,Sokratis,12,6,5,8,5
80,Marek Hamšik,14,8,4,6,14
81,Blaise Matuidi,10,8,5,11,14
82,Stéphane Ruffier,85,82,77,84,87
83,Laurent Koscielny,11,13,9,11,7
84,Filipe Luís,9,11,9,15,5
85,Vincent Kompany,8,10,5,9,6
86,Aymeric Laporte,14,10,5,11,5
87,Yannick Carrasco,10,9,9,11,10
88,Carvajal,9,13,15,13,15
89,Riyad Mahrez,11,15,13,9,6
90,Raphaël Varane,5,11,9,11,14
91,Mauro Icardi,7,13,5,9,9
92,Lorenzo Insigne,9,8,14,4,10
93,Isco,15,10,12,8,6
94,Koke,10,14,5,12,13
95,Kostas Manolas,15,8,8,6,12
96,Danijel Subašic,83,82,79,79,84
97,Nicolás Otamendi,11,12,8,5,12
98,Shkodran Mustafi,10,11,15,9,6
99,Nemanja Matic,14,7,12,15,9
100,Alex Sandro,12,7,9,7,5
101,Kamil Glik,8,10,5,14,10
102,Douglas Costa,12,13,9,15,5
103,Kevin Strootman,6,7,11,12,7
104,Nicolás Gaitán,7,8,9,11,5
105,Bruno,11,13,9,10,8
106,Ivan Perišic,9,6,10,7,6
107,David Luiz,7,11,10,12,14
108,Sami Khedira,15,11,5,9,8
109,Benedikt Höwedes,10,14,9,6,7
110,Ralf Fährmann,85,83,51,86,87
111,Sergio Asenjo,82,86,76,83,85
112,Éver Banega,7,13,7,8,10
113,Medhi Benatia,7,7,8,4,11
114,Steve Mandanda,80,86,77,80,85
115,Dani Alves,6,5,9,11,7
116,Arda Turan,12,11,11,7,11
117,Javier Mascherano,5,6,8,10,5
118,Aduriz,15,14,9,10,9
119,Yaya Touré,12,13,6,14,8
120,Eric Bailly,9,14,10,14,8
121,José María Giménez,10,9,7,11,15
122,NGolo Kanté,7,15,10,12,10
123,Gerónimo Rulli,82,85,75,79,86
124,João Mário,8,6,8,15,8
125,André Gomes,14,12,6,9,8
126,Marquinhos,10,6,12,6,13
127,Carlos Bacca,5,12,8,12,8
128,William Carvalho,14,6,5,6,14
129,Karim Bellarabi,11,10,7,12,10
130,Raheem Sterling,15,15,12,12,9
131,Julian Draxler,13,11,5,13,8
132,Roberto Firmino,6,8,9,11,10
133,Marcos Rojo,15,7,12,8,10
134,Kalidou Koulibaly,13,7,7,11,5
135,Danilo Pereira,14,9,13,7,15
136,Timo Horn,82,80,83,82,84
137,Casemiro,12,13,16,14,12
138,Vitolo,14,11,8,16,16
139,Anthony Lopes,77,86,80,79,87
140,Mattia Perin,78,80,71,85,90
