"id","name","penalty"
1,"Cristiano Ronaldo",85
2,"Lionel Messi",74
3,"Neymar",81
4,"Luis Suárez",85
5,"Manuel Neuer",47
6,"De Gea",40
7,"Robert Lewandowski",81
8,"Gareth Bale",76
9,"Zlatan Ibrahimovic",91
10,"Thibaut Courtois",27
11,"Jérôme Boateng",46
12,"Eden Hazard",86
13,"Luka Modric",80
14,"Mesut Özil",67
15,"Gonzalo Higuaín",70
16,"Thiago Silva",71
17,"Sergio Ramos",68
18,"Sergio Agüero",80
19,"Paul Pogba",76
20,"Antoine Griezmann",71
21,"Kevin De Bruyne",77
22,"Marco Reus",84
23,"Alexis Sánchez",77
24,"Toni Kroos",73
25,"Diego Godín",50
26,"Mats Hummels",68
27,"Hugo Lloris",40
28,"Giorgio Chiellini",50
29,"Philipp Lahm",69
30,"Pepe",57
31,"Petr Cech",23
32,"Gianluigi Buffon",22
33,"Iniesta",71
34,"Jan Oblak",11
35,"James Rodríguez",81
36,"Pierre-Emerick Aubameyang",82
37,"Leonardo Bonucci",70
38,"Arturo Vidal",84
39,"Ivan Rakitic",78
40,"David Silva",77
41,"Samir Handanovic",23
42,"Piqué",69
43,"Arjen Robben",80
44,"Paulo Dybala",84
45,"Marco Verratti",64
46,"David Alaba",80
47,"Henrikh Mkhitaryan",72
48,"Bernd Leno",23
49,"Thomas Müller",60
50,"Sergio Busquets",60
51,"Thiago",75
52,"Jordi Alba",59
53,"Coutinho",64
54,"Ángel Di María",73
55,"Diego Costa",76
56,"Edinson Cavani",84
57,"Radja Nainggolan",63
58,"Marcelo",59
59,"Claudio Marchisio",78
60,"Miranda",49
61,"Karim Benzema",82
62,"Cesc Fàbregas",80
63,"Franck Ribéry",78
64,"Santi Cazorla",80
65,"Andrea Barzagli",60
66,"Harry Kane",82
67,"Alexandre Lacazette",84
68,"Keylor Navas",25
69,"Romelu Lukaku",80
70,"Christian Eriksen",67
71,"Ilkay Gündogan",76
72,"Toby Alderweireld",60
73,"Willian",60
74,"Miralem Pjanic",79
75,"Juan Mata",81
76,"Javi Martinez",52
77,"Dimitri Payet",76
78,"Dries Mertens",78
79,"Sokratis",38
80,"Marek Hamšik",70
81,"Blaise Matuidi",56
82,"Stéphane Ruffier",25
83,"Laurent Koscielny",51
84,"Filipe Luís",65
85,"Vincent Kompany",63
86,"Aymeric Laporte",35
87,"Yannick Carrasco",74
88,"Carvajal",45
89,"Riyad Mahrez",72
90,"Raphaël Varane",43
91,"Mauro Icardi",78
92,"Lorenzo Insigne",61
93,"Isco",76
94,"Koke",59
95,"Kostas Manolas",26
96,"Danijel Subašic",23
97,"Nicolás Otamendi",44
98,"Shkodran Mustafi",54
99,"Nemanja Matic",69
100,"Alex Sandro",59
101,"Kamil Glik",39
102,"Douglas Costa",77
103,"Kevin Strootman",77
104,"Nicolás Gaitán",71
105,"Bruno",75
106,"Ivan Perišic",76
107,"David Luiz",75
108,"Sami Khedira",69
109,"Benedikt Höwedes",56
110,"Ralf Fährmann",21
111,"Sergio Asenjo",15
112,"Éver Banega",67
113,"Medhi Benatia",41
114,"Steve Mandanda",11
115,"Dani Alves",70
116,"Arda Turan",73
117,"Javier Mascherano",60
118,"Aduriz",77
119,"Yaya Touré",89
120,"Eric Bailly",46
121,"José María Giménez",38
122,"NGolo Kanté",54
123,"Gerónimo Rulli",24
124,"João Mário",66
125,"André Gomes",55
126,"Marquinhos",31
127,"Carlos Bacca",79
128,"William Carvalho",60
129,"Karim Bellarabi",57
130,"Raheem Sterling",63
131,"Julian Draxler",63
132,"Roberto Firmino",72
133,"Marcos Rojo",64
134,"Kalidou Koulibaly",33
135,"Danilo Pereira",52
136,"Timo Horn",21
137,"Casemiro",66
138,"Vitolo",74
139,"Anthony Lopes",16
140,"Mattia Perin",21
141,"Joel Matip",42
142,"Juan Cuadrado",65
143,"Iago Aspas",74
144,"Marc-André ter Stegen",25
145,"Mario Götze",65
146,"Ander Herrera",79
147,"Javier Pastore",75
148,"Chris Smalling",52
149,"Pedro",66
150,"Giacomo Bonaventura",68
151,"Roman Bürki",20
152,"Oscar",68
153,"Steven NZonzi",57
154,"Aaron Ramsey",75
155,"Mateo Musacchio",57
156,"Ömer Toprak",48
157,"José Callejón",62
158,"Adrien Silva",85
159,"Azpilicueta",66
160,"Sebastian Giovinco",75
161,"Anthony Modeste",77
162,"Mario Mandžukic",76
163,"Adam Lallana",70
164,"Olivier Giroud",81
165,"Rui Patrício",32
166,"Yann Sommer",24
167,"Jonas",83
168,"Kévin Gameiro",85
169,"Claudio Bravo",23
170,"Lukasz Piszczek",65
171,"Jan Vertonghen",68
172,"Asmir Begovic",40
173,"Naldo",60
174,"Daniel Sturridge",75
175,"José Fonte",43
176,"Ezequiel Garay",69
177,"Samir Nasri",77
178,"Gary Cahill",53
179,"Ashley Williams",45
180,"Leighton Baines",90
181,"Kasper Schmeichel",26
182,"Borja Valero",72
183,"Hatem Ben Arfa",87
184,"Joe Hart",68
185,"Juanfran",66
186,"Wesley Sneijder",76
187,"Nani",72
188,"Stephan Lichtsteiner",66
189,"Wayne Rooney",79
190,"Daniele De Rossi",75
191,"José Reina",24
192,"Quaresma",74
193,"Marco Asensio",62
194,"Bernardo Silva",64
195,"Islam Slimani",72
196,"Jonathan Tah",38
197,"Anthony Martial",71
198,"Dele Alli",52
199,"Ederson",17
200,"Mohamed Salah",61
201,"Sadio Mané",71
202,"Lucas Vázquez",56
203,"Franco Vázquez",67
204,"Manu Trigueros",65
205,"Samuel Umtiti",61
206,"Stefan Savic",37
207,"Roque Mesa",42
208,"Loris Karius",19
209,"Alessandro Florenzi",76
210,"Virgil van Dijk",62
211,"Jack Butland",42
212,"Morata",72
213,"Lucas",75
214,"Yevhen Konoplyanka",75
215,"Francesco Acerbi",72
216,"Nolito",74
217,"Granit Xhaka",59
218,"Stefan de Vrij",41
219,"Jonathan Viera",74
220,"Pizzi",76
221,"Serge Aurier",66
222,"Grzegorz Krychowiak",78
223,"Kevin Kampl",64
224,"Dejan Lovren",52
225,"Gary Medel",62
226,"Idrissa Gueye",54
227,"Víctor Ruíz",46
228,"Ricardo Rodríguez",83
229,"Xherdan Shaqiri",65
230,"Ciro Immobile",76
231,"Nathaniel Clyne",46
232,"Iborra",72
233,"Jack Wilshere",65
234,"Shinji Kagawa",78
235,"Kevin Trapp",17
236,"Taison",72
237,"Kyle Walker",63
238,"Marlos",74
239,"Luiz Gustavo",58
240,"Giuliano",75
241,"Gylfi Sigurðsson",80
242,"Yacine Brahimi",75
243,"Marko Arnautovic",78
244,"Jordan Henderson",64
245,"Orestis Karnezis",21
246,"Mamadou Sakho",40
247,"Adil Rami",48
248,"Fernando Néstor Muslera",24
249,"Vedran Corluka",49
250,"Edin Džeko",70
251,"Séamus Coleman",60
252,"Javier Hernández",76
253,"Beñat",69
254,"Lars Bender",52
255,"Axel Witsel",81
256,"Morgan Schneiderlin",56
257,"Kevin Mirallas",75
